id,texto,emocion
3821,"Gooooooolaaaazoooo de #Messi el MEJOR DEL MUNDO, EL ÚNICO #ChampionsLeague #ChampionsxESPN",joy
3822,"""Lee poco y serás como muchos, lee mucho y serás como pocos."" Conmemoremos este Día Internacional del Libro de la mejor manera: leyendo como Ángela. #diadellibro #book #libro #leer. en… https://t.co/ddSbTTEGpe",others
3823,No había un día más indicado para discutir los escenarios prospectivos de #Venezuela https://t.co/1E6ciTBOE2,others
3824,"Todo español que quiera pirarse de España, lo acojo en mi país encantada. #ElecccionesGenerales28A #28A",joy
3825,Nos vamos a la mierda #ElecccionesGenerales28A,anger
3826,"A los vencedores, enhorabuena, y a los perdedores, ánimo. A finales de mayo llegan unos nuevos comicios, y habrá que ver si se mantienen estos resultados #28DeAbril #ElecccionesGenerales28A #EleccionesAutonómicas #EleccionesLocales2019 #26deMayo #26M",others
3827,¿Por qué se celebra el #DíaDelLibro 📚? https://t.co/4IoMDKEa4c https://t.co/IjeU88F0uE,others
3828,Cómo Nadal sigue con las botellas de plástico ante millones de seguidores ? #MedioAmbiente #ExtinctionRebellion #MalditoPlástico #FridaysForFuture #WeDontHaveTime #Greenpeace #GretaThunberg #15M #Nadal https://t.co/0nS4Vui2wD,others
3829,"Nunca he visto #JuegoDeTronos, pero me estoy planteando empezar a seguirla con el único objetivo de, en el momento menos pensado, soltar spoilers durante las reuniones con amigos que solo hablan de esta puta serie.",anger
3830,Impresionante!!! Brutal! Y... simplemente #Arya !!!! Que tensión continúa!!! #GameofThrones #JuegodeTronos #Winterfell #Winterfellbattle,joy
3831,"Incidentes y heridos en la Embajada de #Venezuela. El manifestante declaró: ""Me apoyó una escopeta de gas lacrimógeno en la oreja y apretó el gatillo. Y para ustedes (medios de comunicación) 'ellos' son los buenos"" #VenezuelaLibre #ParoNacional #StornelliHabloConMauricio https://t.co/rjtnN7lH1c",others
3832,La madre que te parió #messi 😲 valla golazo. #ChampionsLeague,surprise
3833,USER DE AQUI SALE EL CAMPEON DE LA #ChampionsLeague #WeAreLiverpool #ForeverRed,joy
3834,"Después de ver tantas cosas malas todos los días, disfrutar de #Messi es un milagro. #ChampionsLeague",others
3835,"USER Lo lamentable es que chavales adolescentes estén manifestándose en toda Europa, mientras sus padres no mueven un dedo para dejarles un Planeta habitable #GretaThunberg #FridaysForFuture...!!",sadness
3836,"¿Ya dijeron que su libro favorito es el Kamasutra? No puede ser que me haya perdido ese ""tuitazo"" #DiaDelLibro",surprise
3837,Me está dando repulsión escuchar al secretario de #VOX😤 #ElecccionesGenerales28A #28Abril #28A,disgust
3838,"El resultado final parece ser injusto para el Liverpool, qué garra la de estos jugadores, por lo menos se debían haber marchado con un gol. #ChampionsLeague",anger
3839,La Casa #Stark. Los putos amos del #multiverse. Salvando al mundo un día sí y al otro también! 😎 #GameOfThrones #Got #gots8 #gots8e3 #JuegoDeTronos #gotendgame #Domingot #HouseStark #AvengersEndgame #TonyStark #LoveYou3000 https://t.co/MU7tGxHYiy,joy
3840,"#LaNoche24h pero a este tipejo de Fran Pérez quién le paga? Se puede ser más cínico respecto a la situación de #Venezuela? Mire, señor, dedíquese a otra cosa porque sus comentarios sesgados lo que generan es más desinformación.",disgust
3841,"Si llega a ganar VOX y el rey de la noche el mismo día, este si que hubiera sido un lunes realmente negro. #28A #EleccionesGenerales28A #EleccionesL6 #ElecccionesGenerales28A #GameOfThornes #Arya #AryaStark",sadness
3842,Incendio en #NotreDame: es desgarrador ver en llamas este símbolo de #Francia y de la civilización mundial. Nuestra solidaridad con #París y con Francia por esta terrible tragedia 🇫🇷🇮🇱 https://t.co/DRnngTf4MI,sadness
3843,Al lío. #GameofThrones #JuegodeTronos #Got8x03 Y hasta que no termine no vuelvo a entrar aquí. https://t.co/T5RcjV9492,others
3844,"No conozco su ciudad,ni tampoco la conocía por dentro, pero eso no hace falta para saber que siglos y siglos de historia, arquitectura y cultura terminaron bajo fuego, destruídos, para siempre. Pueden tratar de reconstruir, pero la magia de lo auténtico, ya se perdió #NotreDame https://t.co/6cZg2YQrT4",sadness
3845,Asco me da el señor Sánchez #ElecccionesGenerales28A,disgust
3846,"“De los diversos instrumentos inventados por el hombre, el más asombroso es el libro; todos los demás son extensiones de su cuerpo… Sólo el libro es una extensión de la imaginación y la memoria”.- Jorge Luis Borges. ¡Feliz Día Internacional del Libro!📚 #DíaDelLibro #CDNaco https://t.co/mzpZgtHprZ",joy
3847,Los hermanos se pelean pero en el fondo se quieren... #JuegoDeTronos,joy
3848,Preparando mis veladoras para la matanza de esta noche #Got #JuegodeTronos #GameOfThrones https://t.co/BlUvq9ScPH,others
3849,Hasta el minuto 71’ el juego iba 0-0 El reloj marcaba el 82’ y ya Barcelona le ganaba 3-0 al Liverpool con doble de Messi #ChampionsLeague,others
3850,"#notredame #monumento #paris #todosconnotredame Ver como la historia se las lleva el fuego es una pena, es triste para todos los que disfrutaron de esa maravilla y triste para quien ya no… https://t.co/xyyRHdmfaj",sadness
3851,"Si amas la vida, no pierdas el tiempo. De tiempo esta hecha la vida. #Frasesdeldia #Vida #Tiempo #venezuela #like #TuAlmaSana #frases #motivacion #MenteSana #love #inspiration #reflexion #Ccs #Time #follow4follow #naturaleza",others
3852,"Mientras Messi juegue al fútbol, el Barcelona siempre será favorito. #BarçaLiverpool #UEFAChampionsLeague #championsleague #esp #Barcelona #Liverpool",others
3853,"Arde #NotreDame. 800 años de historia ardiendo. Tus hermosas vidrieras han desaparecido. ¡Por favor, que al menos se salve tu estructura! ¡Tus torres! 😭 https://t.co/qvTlHNClow",sadness
3854,Un pueblo que regala amor y cultura es un gran pueblo. Toda la solidaridad y cariño con el Pueblo Catalán . Feliç #SantJordi #DiaDelLibro https://t.co/YwjlZWql7B,joy
3855,Descubre nuestra herramienta y gana más dinero apostando en #Ligue1 y #ChampionsLeague. https://t.co/zAr6LgMaY9,others
3856,"No me jodas Messi, casi 30 metros. ¿Cómo vas a meterla en el ángulo? Eso es imposible. #ChampionsLeague #CHAMPIONSxESPN #Messi600",others
3857,"Triste noticia la del incendio de #NotreDame, no sólo por lo que representa como referente religioso, sino como recinto historico y cultural.",sadness
3858,"Leer lo que algunos infraseres ponen sobre el incendio de #NotreDame cabrea bastante. Pero es triste a la vez, no entender porque los franceses la llaman ""nuestra señora"" solo de muestra incultura y desconocimiento. Notredame no es solo un ""icono"" religioso es un ente vivo.",anger
3859,"Yo a pique lo encuentro malisimo, pero juega en Barcelona y por eso destaca. Lento y tronco #championsleague",others
3860,"USER USER Comentario más asqueroso, malditas Oriana a #Venezuela, la Gahona que rápido se le paso el luto de #Chiquetete y Sofía con sus clásicas respuestas de 2 neuronas no le da para más el cerebro",anger
3861,Qué bueno que exiten los libros. Celebremos leyendo 😉 #DiaDelLibro https://t.co/Q4JB8QWCup,joy
3862,"Qué la población en general, que la TROPA de las FFAA de #Venezuela no se levanten en verdaderas masas, nos da una idea del daño que le hicieron a esa nación. Por generaciones. Da pena, verdaderamente. Malditos sean #HugoChavez y . USER .",sadness
3863,"Estudiantes de escuelas de #Roma en huelga para salvar el planeta, siguiendo el ejemplo de la sueca #GretaThunberg #fridaysforfutureitaly https://t.co/PlrTfKLDWz",others
3864,#ChampionsLeague ¡IMPRESIONANTE! #FCBarcelona ganó 3-0 al #Liverpool con doblete de Lionel #Messi y gol de USER . Los catalanes tienen un pie en la final de Madrid. https://t.co/ZYcZccsxzh,joy
3865,"Es alarmante que en todo el poder político de la CEE, no exista un solo líder político, con coraje , para decirle a los Europeos la verdad , y que tenga que ser una niña autista sueca #gretathunberg la que informe de un inminente colapso .#PSOE #PP #Ciudadanos",anger
3866,Lo de #Venezuela se arregla si alguno de los guardaespaldas de Cabello o Maduro les da un balazo en la nuca mientras cenan. 100 años de honores para ese hombre.,others
3867,USER Muy irresponsablemente el señor John Bolton continúa mintiendo sobre #Cuba en #Venezuela con la más absoluta frialdad y cálculo político para intentar engañar al mundo y a sus propios jefes. Este señor necesita ser cuidadosamente monitoreado y desmentido.,anger
3868,🙏Venezuela ya está lista y la veré renacer 💛💙❤. #venezuelalibre,joy
3869,"#DiaDelLibro Desde el CTV os recomendamos dos libros que nos apasionan: #TiemposDeSwing, de #zadiesmith donde refleja la realidad multicultural de un barrio de #Londres en el que transcurren la vida de dos niñas. Otro, el mágico #PedroPáram, de #JuanRulfo. #LeerAprendiendo https://t.co/gqS9Im8cPz",others
3870,"#NotreDame un chingo de mexicanos mamadores bien consternados hasta el llanto por la catedral, pero yo no leí tanto tuitero consternado por las 50 hectáreas de bosque consumido en el bosque de la primavera en jalisco.",sadness
3871,8 de 11... Historia de la Liga!!! Visca el Barça!!!! #BarçaLevante #LaLiga #barça #Campeones https://t.co/WaLI0ZNEqg,joy
3872,Nerviosismo del Barcelona en su propia casa. #ChampionsLeague,others
3873,Cuanta verdad hay en sus palabras. #VenezuelaLibre https://t.co/bUmRrvcas0,others
3874,El mejor de la historia de un lado. Pero que los árboles no os impidan ver el bosque... #UCL #ChampionsLeague #ChampionsMLC,others
3875,"Como sigan poniendo todo el dinero del mundo para reparar Notre Dame, la obra va a ser la más cara de la historia. No hay nada peor que decirle a un constructor que hay dinero de sobra para hacer la obra. #NotreDame #NotreDameEnLlamas",anger
3876,"Yo, tras ver el tercer capítulo de Juego de Tronos #JuegodeTronos #GameofThrones https://t.co/35WQlCaEf2",others
3877,#LaLiga hoy: Barcelona-Levante 12:45 p.m. Sky,others
3878,Por fin puedo respirar... Ya acabado el último capítulo #JuegodeTronos 8x3... Qué tensión... Sigo #living ¿Es espectacular o soy yo que soy muy fan? ¿Teorías y especulaciones de lo que estar por venir? #GameofThrones #matamecamion https://t.co/80Q05EyI4p,surprise
3879,"Hoy levantemos nuestras manos en oración por Venezuela, por todas las familias afectadas, y por la paz en esta hermosa nación 🇻🇪 . “El Señor le da fuerza a su pueblo; el Señor lo bendice con paz.” Salmos 29:11 NTV . #OremosPorVenezuela #venezuela",joy
3880,"🇨🇺Curiosidades en el #DiaDelLibro y Día del Idioma Español en USER : #Cuba: El primer libro editado por la Imprenta Nacional en 1960, fue precisamente «El ingenioso Hidalgo don Quijote de la Mancha», con una tirada de 100 mil ejemplares. USER USER https://t.co/y8rsqHMBpN",others
3881,"Aquí, sufriendo....digo, disfrutando de la fiesta de la democracia #ElecccionesGenerales28A #EleccionesGenerales19 #EleccionesGenerales28Abril https://t.co/UJIJGUnEZW",others
3882,Es tan triste ver esto 😭💔 Me hubiera encantado poder conocer #NotreDame 🇫🇷 https://t.co/nPeKBppOFg,sadness
3883,Cuál sería el problema de publicar fotos de #NotreDame ?,others
3884,"Mientras en Chile se quemaban miles de libros, USER saltaba feliz en Harvard gritando ""¡Ganamos!"" #DiadelLibro https://t.co/UBP9eqyuG3",anger
3885,¿Qué tal vuestro #DíaDelLibro? ¡Recomendadme alguno para cuando me termine este! 🙏🏼😊 https://t.co/s9pLFX2ivD,joy
3886,USER USER USER USER USER USER USER No me creo que la hayas oído y creas q #GretaThunberg es un títere. Como si le hicieran puto caso!!,anger
3887,"""Para viajar lejos, no hay mejor nave que un libro"" 📚❤ Sueños, magia, cultura, poemas, acción, naturaleza, amor, ciencia, historia... tenemos tanto por leer, no dejemos de transmitir el hábito de la lectura que tiene el increíble poder de acabar con la ignorancia. #DiaDelLibro https://t.co/e1iwUjdcjO",others
3888,Grande FB Barcelona. Que espectáculo dieron. Los mejores de la mano del mejor de la historia #messi #ChampionsLeague #UCL,joy
3889,"🌏 Si algo me gusta de #GretaThunberg y todas las jóvenes que se levantan cada viernes es su aire fresco. 📣 Por favor, como adultos -al igual que con nuestras compañeras de lucha feminista- apoyemos, no lideremos. Este movimiento lo merece. #FridayForFuture #YouthForClimate #15m https://t.co/9dkHh24t7t",others
3890,Por dios santo #JuegoDeTronos va a acabar conmigo! #GOTS8E3 #Got8x03 Posiblemente los mejores 80 minutos de la historia de la televisión.,surprise
3891,Feliz Día del Libro ¿Por qué si nos llaman gordos nos ponemos a adelgazar pero si nos llaman idiotas no nos ponemos a leer? A ponerse guapos y guapas todos!! #diadellibro #santjordi… https://t.co/N0OBVYzsZ6,joy
3892,USER USER USER USER estas escondidos cuerda de Ratas y Narcotraficantes? A correr y esconderse como las ratas! Es lo que les queda! Tic tac ⚖️Justicia Divina! #Venezuela #venezuelalibre #maduroasesino #TodaVenezuelaALaCalle #ratasdemiraflores,disgust
3893,"Las gradas del #CampNou vacías con el título de liga sobre el césped, Dios le da mocos a quien no tiene pañuelos, con la pechá de llorar que me podría pegar yo...que pena! #LaLiga #BarcaLevante",sadness
3894,"He escrito algo pequeño para Notre-Dame y para todos los que la sufren. Aún no está a salvo del todo, pero hay esperanza. #NotreDameFire #NotreDame #Paris https://t.co/MHPm3E1yi8",sadness
3895,No le deis más vueltas. La sorpresa es que no ha habido sorpresas #ElecccionesGenerales28A,joy
3896,"esperando a #gretathunberg ante la puerta de Brandemburgo te encuentras con este señor que grita ""Soy el ultimo Emperador"" ..(desnudo esta a la vista) https://t.co/tz6Dl2ukmr",surprise
3897,"#RAYUELA: Llora en su tumba Víctor Hugo ppr Notre Dame. Con él, llora todo el mundo amante de la belleza y de la historia. | USER #México #LaJornada #Jornada #NotreDame",sadness
3898,En estos momentos es la persona a la que más admiro. Demuestra de lo que es capaz de hacer una sola persona con voluntad y confianza #GretaThunberg #FridayForFuture https://t.co/Obv61qkeMy,joy
3899,"Como saben, #Paris es la ciudad en donde comenzó nuestra historia y donde tenemos nuestras oficinas centrales. Por eso, no podemos dejar de expresar que estamos conmovidos ante el incendio de la Catedral de #NotreDame este lunes. ❤🇫🇷😐",sadness
3900,#NotreDame qué lástima lo que pasó !! La catedral que es un ícono francés!!,sadness
3901,“Hay momentos en los que estás tan destrozado como ser humano que solo quieres llorar” #JuegodeTronos https://t.co/nipnbP5FkJ,sadness
3902,Una mordidita a la orejona 😊 Qué buen gol #Suarez #VamosBarza #ChampionsLeague USER,joy
3903,"En Viernes 15 de Marzo hay llamamientos en diversas ciudades del estado a actos y movilizaciones estudiantiles contra ""cambio climático"" siguiendo llamamiento de #GretaThunberg estudiante que llevó protesta a Foro de Davos Hay llamamiento en 89 estados https://t.co/XFnHkqVkzh https://t.co/6QZHLw2wQo",others
3904,Me uno a la iniciativa de #GretaThunberg https://t.co/1MpDOkfnzv,others
3905,Mi energía positiva para que #Venezuela sea libre y reine la Paz.,joy
3906,Mucha gente criticada por no ver #JuegodeTronos pero y a esos que no le gusta #Marvel y critican #Endgame ?... a esos no le abrimos la cabeza o como va la vaina?,anger
3907,Melissandre es de lo mas inutil de la historia #JuegoDeTronos,anger
3908,"A esta hora, los votantes del PSOE que hayan visto el capítulo de Juego de Tronos, tendrán un día de lo más tranquilo. #ElecccionesGenerales28A #JuegodeTronos",others
3909,"Como atacó la pelota, mérito absoluto del delantero #ChampionsLeague",joy
3910,"La humanidad está en una encrucijada, debemos decidir qué camino queremos tomar. Este Día Mundial de la Tierra te compartimos las palabras de #GretaThunberg en Londres, donde más de 831 personas han sido detenidas en manifestaciones no violentas contra el calentamiento global. https://t.co/XJFNCmJIUT",others
3911,Descanso #LaLiga. Athletic 1-1 Alavés (Beñat; Bastón).,others
3912,"USER Orgullosa muy orgullosa, #ElecccionesGenerales28A LA TUMBA DE FASCISMO!!!! https://t.co/YiR3KqYcbU",joy
3913,Twitter Colombia apoyaba al USER Todo en orden 🤗 #ChampionsLeague,others
3914,"Podemos con más votos que ciudadanos tiene menos escaños, es vergonzosa la ley electoral #ElecccionesGenerales28A #HoyUnidasPodemos USER",anger
3915,Me quiero morir de los nervios. No puedo. Estoy temblando. #ChampionsLeague,others
3916,"Esto de hoy debió venir junto a la #ntervenciónMilitar . La calle hace su trabajo. Los militares hacen su extracción. Pero no, otra vez , otra cagada. Todo esto para que Leopoldo y su familia se asilaran mientras los q atropello la tanqueta están graves. #30Abr #Venezuela https://t.co/3c6caeBYnP",anger
3917,"Salgamos mañana a hacer historia. Ya no tenemos tiempo que perder, el momento de actuar es AHORA. #FridaysForFuture #FridaysForFutureMx #15MClimatico #ClimateStrike #GretaThunberg #UNAM #UAM #IPN #MexicoCity Todos los detalles en el evento: https://t.co/l2wYT3SFe7 https://t.co/eYiNhxFpU3",others
3918,"El bueno, el feo y el malo #ElecccionesGenerales28A https://t.co/6CkbvErdT1",others
3919,"Hace poco descubrí una editorial independiente que me tiene fascinado: USER . He devorado #ArdeTuCasa, #LosAsquerosos y #AmorDeMonstruo. Historias arriesgadas y una edición impecable. Hoy, mi #DíadelLibro📚 va para ellos https://t.co/OmqVTdE7Vj",others
3920,He comprobado cómo USER perdía años de vida con la tensión que ha pasado en este episodio #GameOfThrones #JuegoDeTronos https://t.co/zmIzIoqknv,others
3921,"¡Bueno, bueno, bueno, qué barbaridad #JuegodeTronos! ¡Qué maravilla de capítulo! ¡Una obra maestra! ¡Estoy llorando de la emoción! ¡Bravo! ¡Gracias!",joy
3922,¿Conoceremos hoy al campeón de #LaLiga? El Barça puede coronarse sin saltar al césped ⏰ 13:00 ⚽ #AthleticAlavés ⏰ 16:15 ⚽ #AtletiValladolid ⏰ 18:30 ⚽ #LeganésCelta ⏰ 20:45 ⚽ #BarçaLevante #FelizSábado https://t.co/W2b0kgKt65,others
3923,Irse a la cama con la victoria aplastante del USER y después de ver el mejor capítulo de la historia de #JuegodeTronos https://t.co/DwSND3RFSR,joy
3924,En el #diamundialdelclima apoyamos la lucha que miles de jóvenes sumándose al movimiento #fridaysforfuture sacan a la calle cada viernes para combatir y frenar el cambio climático. 🗺 #climatestrike #gretathunberg #fridaysforfuture #ods13 #ods7 #isener 🌱 https://t.co/5DQhcMjopA,others
3925,"Si hoy es 23 de abril, esta premio Cervantes se llama Ida Vitale https://t.co/lRPxWX7K62 #díadellibro",others
3926,"Ya se fue, lo hubiese hecho hace años y evitaba matar tanta gente... #VenezuelaLibre #FueraAsesino https://t.co/b9Co0OIPhl",others
3927,Ya viene el gol con el que el #CampNou se va a caer oeeee oeeeee #Barca #BarcaLevante #BarçaLevante #LaLiga,joy
3928,"Palabra del día! Extracción, lea bien... Extracción #Venezuela #30DeAbril",others
3929,Ya le metimos a la #ChampionsLeague en USER espero gane hoy el USER 😎✌🏻,joy
3930,Messi normal mi acaba 🙏🙏🙏respect #ChampionsLeague 🤗,joy
3931,Este #DíadelLibro tenemos una invitación para apoyarnos en la campaña para mejorar las bibliotecas que ofrecemos a cientos de familias en el programa Juguemos con Nuestros Hijos. Escríbenos a contacto USER .org y te contamos más https://t.co/YjKY4I4bYk,others
3932,"Quien haya planeado que salgan a la vez, no ha pensado que podemos verles a los tres pero que solo podemos escuchar a uno. #28A #ElecccionesGenerales28A USER USER USER",others
3933,"#fridaysforfuture si la tierra fuera un banco, ya la habrían rescatado #Madrid #GretaThunberg Madrid4Future https://t.co/Pc342b1yr9",others
3934,"Completamente derrotados, los golpistas' en #Venezuela, dice Cabello https://t.co/prWaR1MHjF https://t.co/JTHV3GAOub",others
3935,Incendio en #NotreDame: La prensa española llena sus primeras páginas con las imágenes del desastre https://t.co/fIRDaBzSa6,sadness
3936,"No lo puedo creer tantos recuerdos tengo de ese viaje, que parece imposible qe haya sucedido. Me estaba comiendo unos vuala gamesa y no pude contener el llanto al saber lo que pasa en París. Que grande tristeza... #PrayForNotreDame #NotreDame https://t.co/G2MDtB72QM",sadness
3937,"O sea, si es lamentable el daño histórico y patrimonial del incendio de #NotreDame pero no deja de ser algo material, así se debería de entristecer por las guerras y las tragedias humanas que no cesan :(",sadness
3938,". A ESTA HORA NOS LLEGA POR EL PERIODISTA 👇👇👇👇👇👇👇👇👇👇👇👇👇👇👇👇 . . . USER • • • • • Santa Fe, Caracas. 7:15pm. Personas siguen en la calle. . . . . . . . . . #venezuela🇻🇪… https://t.co/3fTvbCBPCL",others
3939,"""Tú has venido a saber de sueños. Y los sueños son el lenguaje de Dios. Cuando Él habla el lenguaje del mundo, yo puedo interpretarlo. Pero si habla el lenguaje de tu alma, sólo tú podrás interpretarlo. Tienes que ir a las pirámides, allá encontraras tu tesoro."" 💰 #DiaDelLibro",others
3940,Bomberos salvan a #NotreDame de la destrucción total https://t.co/0NBwpHnoxV https://t.co/7rDcLdExQR,others
3941,"Que bien he dormido sabiendo que España es progresista, feminista y tolerante. Adiós al discurso del odio y el enfrentamiento. Orgullosa de este país. #ElecccionesGenerales28A #EleccionesGenerales28Abril #28Abril",joy
3942,"Yo NO CREO en las casualidades. Un devastador incendio en #NotreDame, un Lunes Santo. Cómo quisiera equivocarme... porque al margen de las incalculables pérdidas, la tragedia en sí misma representa muchas cosas que como católicos debemos comprender y meditar desde la fe. https://t.co/pMBau6md0b",sadness
3943,"Esta mañana la escritora Paquibel Sánchez Rueda, ha realizado una actividad muy interesante con nuestro alumnado. La charla se ha realizado con los grupos de 2 ESO. Esta actividad se enmarca dentro de las actividades dedicadas al Día del Libro. #DíaDelLibro USER https://t.co/EwQRGZLdVs",others
3944,Pemex registra pérdida de 35.7 mil mdp en primer trimestre Más Información 👉 https://t.co/nEnjbDJ7Wv . No esperes más y visita nuestra página 👉 https://t.co/xcdfkci6B1 . #LaNetaSiempre #30Abr #FelizDíaDelNiño #ChampionsLeague https://t.co/U4HIi1qHQo,others
3945,Y llegó el 600 te amo USER #ChampionsLeague,joy
3946,"""Cría cuervos y te sacarán los ojos"" Mientras los Católicos franceses lamentan la perdida de Notre Dame, los inmigrantes musulmanes celebran su destrucción al grito de "" Aláh es grande"" https://t.co/BELtXvpQG7 #notredame https://t.co/kV1GNx3pAg",others
3947,"Por que si el planeta está en una situación de emergencia , el jefe del estado no se dirige a los españoles y les dice la verdad ? .Y sin embargo miente por omisión. #ExtinctionRebellion #GretaThunberg #climatechange #PoderPopular #MurallaHumana #Psoe",anger
3948,"Gente, que Hitler hablaba muy bien y tenía un discurso patriótico maravilloso, pero era un fascista. #ElecccionesGenerales28A",disgust
3949,"os mejores 88 minutos que me han regalado la televisión en mi vida lo del capitulo de hoy de juego de tronos es lo mas grande que he visto, no recuerdo nada así #JuegoDeTronos",joy
3950,Ponen VAR y solo hacen lo que quieren. Entonces en qué quedamos? #ChampionsLeague,others
3951,El valor de un libro estaba determinado por su calidad espiritual más que por su estado físico. #PaulAuster #DiaDelLibro https://t.co/dHCBnsIr3n,others
3952,Llegarán más venezolanos y la crisis humanitaria puede tocar fondo en Colombia #VenezuelaLibre,others
3953,Los datos económicos dictan que comienza una recesión en la economía española; PSOE ganando las elecciones generales. ¿Recordáis el año 2008? Pues va a volver en breves #ElecccionesGenerales28A,others
3954,"Voy a actualizar #eBiblio #Extremadura y estoy emocionada por ver los cambios, será coincidencia que sea hoy #DíaDelLibro? 🤔 USER ya sabremos por qué página vamos 😂😂 https://t.co/PuBbyfDJEV",joy
3955,#NotreDame #NotreDamedeParis #streetphoto #streetphotography Incendio en Notre Dame … tragedia histórica y simbólica .. https://t.co/wnCkQJv72C https://t.co/s3Btza1JlO,sadness
3956,"MIENTRAS en las calles de #Caracas #Venezuela las Tanquetas Militares de la ""GUARDIA NACIONAL"" de USER -èsta es BOLIVARIANA- PERO CREADA CON LAS MISMAS INTENCIONES QUE LA DE #MEXICO Tratan de detener las MANIFESTACIONES ¡ATROPELLANDO CIVILES! #cdmx #mty #GDL https://t.co/KIUC8UmMPD",anger
3957,"No me cansaré.....Messi Valorar lo que estamos viendo, nunca veremos otro igual. #ChampionsLeague #BarçaLFC #Messi",joy
3958,Un triste día para Francia y para el mundo entero... Pero con noticias alentadoras al final... #NotreDame sigue de pie y es un patrimonio que nos une... #Esperanza https://t.co/UyqB31wI1R,sadness
3959,"Cuando... 😮🤩😭👏🤩🤩🤩🤩 Es más, por mi ya pudo terminar hoy la serie. 👏😭🎊😭👏🎊👏🤩🎊👏😭🎊 #GameOfThrones #got #JuegodeTronos #aryastark https://t.co/kctmJDwPhM",sadness
3960,"#NotiPost #30Abr Bandos militares se enfrentaron entre sí, un nutrido grupo de oficiales ha salido en defensa de la ciudadanía, mientras que otro ha reprimido con balas y bombas lacrimógenas a quienes apuestan a la desobediencia civil #Venezuela 📸 USER / USER https://t.co/yDMxg140Bc",others
3961,#GretaThunberg reúne a miles de jóvenes en #Roma para denunciar la “crisis existencial” del #cambioclimático https://t.co/LiEAJ6Yf5V https://t.co/NjxKGbseuY,others
3962,Eran padres y abuelos con actitud de arrepentimiento prometiendo a una niña que a partir de ahora se portarán bien.#GretaThunberg https://t.co/x4le6RRHPj,sadness
3963,"Hoy he leído tanta lamentación: “Que terrible, cuanta pérdida, una lástima, cuánto valor histórico!”... tanto Jorobado sufriendo por la Catedral de #NotreDame y con cuea se han parado a mirar a los hermanos del flaco a hacer humor afuera de la Catedral de Santiago.",sadness
3964,¿Cómo puede #AMLO decir que no intervendrá en la situación de #Venezuela cuando #Mexico es el más afectado por tal? ¿Qué tiene en la cabeza el presidente de México además de mierda?,anger
3965,No estamos preparados para el capítulo de hoy de #JuegoDeTronos . NO LO ESTAMOS,others
3966,"Hostia puta!!! Capitulazoooo, q sea ya Domingo otra vez!!! #VivePoniente #got #JuegoDeTronos",joy
3967,"Mano mis pelotas, jugá trozo e mierda. #ChampionsLeague",anger
3968,#GretaThunberg: méritos de una niña de 16 años para ser #Nobel de la Paz 👏 Ojalá en el mundo más personas se unan a USER #Fridaysforfuture🌍 #EmergenciaClimática 💚 #NobelPeacePrize #15MClimático✊ Detalles👇 https://t.co/ze4zS35Q24 https://t.co/PfKyqpOHdF,joy
3969,Pff que tristeza ver como algo TAN BONITO y espectacular ha quedado arrasado por el fuego...la experienza de subir a esas torres fue de las mejores que he tenido nunca! 😢 #NotreDame https://t.co/WbHXWy2TRz,sadness
3970,Bueno declaro Moscú la nueva y renovada Messigrado. #BarçaLFC #ChampionsLeague,others
3971,Fuerza Francia en esta hora triste. Pronto volverá hermosa Nuestra Señora #NotreDame https://t.co/beRfOElpIW,sadness
3972,Hay tanta desinformacion que los periodistas y personalidades que acostumbramos a leer para ver que pasa en #venezuela no han publicado mas desde hace unas 3 horas aprox.,sadness
3973,"RT WContreras_: En el #DíaDelLibro hacemos un reconocimiento a quienes escriben, y sobre todo a los lectores. Es una fecha para festejar la lectura la creatividad, la cultura, la igualdad de acceso al conocimiento y la diversidad para todo nuestro pueblo. #VenezuelaBellaEnMa…",others
3974,Usted sí que da asco!!🤮🤢🤮 apoyando la hambruna y la forma en la que este dictador tiene al pueblo venezolano!! Que vergüenza!! #VenezuelaSeRespeta #VenezuelaLibre https://t.co/I8u6aH882a,disgust
3975,Soy madridista pero debo de reconocer que es un deleite ver esos goles hechos pinturas #ChampionsLeague,joy
3976,🏆 ¡FINAL! 🏆 El USER se corona Campeón de #LaLiga temporada 2018-2019 al vencer en casa al Levante 1-0 con anotación de Messi. https://t.co/XYzx5fNvaB,others
3977,"""¡Madrid cabrón, saluda al campeón!"" #viscaelbarca #barcelona #laliga 🔵🔴🔵🔴🔵🔴 #barlev",others
3978,EN DIRECTO #LaLiga | Se cumplen los 15 primeros minutos de juego en el Camp Nou (0-0) https://t.co/00zEr3Adq0 #BarçaLevante https://t.co/MtrJzTFZ84,others
3979,#DiaDelLibro felicidades a todos los lectores https://t.co/0uB1XtBEdn,joy
3980,"Decir que se está triste por lo de #NotreDame tal vez sea exagerado, pero el jugarle al desestimar que es algo trágico por quedar como interesante es patético, muestra falta absoluta de cultura y algo peor, demuestra que son los nuevos “únicos y diferentes” PENDEJOS.",sadness
3981,Ter Stegen tiene las manos de Dios #ChampionsLeague,joy
3982,"Hoy celebramos el Día del Libro con avioncitos literarios, venta de libros usados y cuenta cuentos en USER 📚 ¡A seguir fomentando el amor por la literatura infantil y juvenil! Feliz día del libro 😁 #DiaDelLibro #DiaDelLibro2019 https://t.co/XpLsWUraVT",joy
