id,texto,emocion_original,grupo,estudiante
1047,"🚩 La Ama, Reina y Salvadora de los Siete reinos 🗡❤ #GameofThrones #JuegodeTronos https://t.co/sfJ8qC0aOQ",others,F,1
1048,"""Los adultos se revelan incapaces de enfrentar una idea de futuro que no esté determinada por renovaciones del acto de consumo"". #CambioClimático #ContingenciaAmbiental #StrikeOutALS #GretaThunberg https://t.co/qXO8zfyTX7",others,F,1
1049,Típico chileno: mostrar fotos cuando visitaron la catedral de #NotreDame,others,F,1
1050,"#Venezuela Corresponsal de Vpitv en el estado Zulia, USER , fue agredida por comunistas colectivos de delincuentes quienes destrozaron su vehículo. #DictaduraComunista #Zulia #Agresiones #Régimen #Colectivos #VPItv",others,F,1
1051,Difícil contener las lágrimas ante esta escena. Rezos ante y por #NotreDame https://t.co/RxzLXrLiwh,sadness,F,2
1052,"Al lío, que comience la batalla de invernalia #got #JuegodeTronos #Got8x03",others,F,2
1053,"#Internacionales El presidente de la Asamblea Nacional Constituyente (ANC) de, #Venezuela, Diosdado Cabello hace un llamado al pueblo a defender la soberanía de la nación Para más detalle visita #DossierNica 👉👉https://t.co/kdaFldbr6y https://t.co/KGl3QGN2QT",others,F,2
1054,Definitivamente no hay mejor plan que ver fútbol. #ChampionsLeague,others,F,2
1055,Fotos y sonrisas de satisfacción después de una larga jornada de firmas en este #SantJordi. USER | #DíaDelLibro https://t.co/5sOQ3c2McC,joy,F,2
1056,"Que este hermoso puente descansen mucho y lo disfruten, sobre todo viendo la semifinal de la #ChampionsLeague y la final de vuelta de la #Concachampions , más bello este día no podía ser❤.",joy,F,2
1057,SOLUCIONADO!!! USER USER USER pacto y mayoría absoluta sin los independentistas 👍🏼🎉💃🏼 #ElecccionesGenerales28A,joy,F,2
1058,"Emmanuel Macron: ""Se ha evitado lo peor, aunque la batalla no se ha ganado del todo... Gracias a [a la] valentía [de los bomberos] se han salvado las torres y la fachada"". #NotreDame #France #Paris",joy,F,2
1059,En mi humilde opinión sobre el incendio de la Catedral de #NotreDame comentaré que es otra evidencia de lo implacable que son los principios termodinámicos. La entropía no perdona nada.,others,F,2
1060,Barcelona Campeón ! 🏆 Gracias Messi por tanto !!!!! Ahora vamos por la USER y USER Triplete a la vista !!! #laliga🇪🇸 https://t.co/0MZfVXHIdG,joy,F,2
1061,Anuncio : “ Acceso a la ” y bajan unos pivotes ... y continúa“ Sin “ Yo añadiría ;” Gracias a mí éste q conoces será un sueño y provocaré gastos múltiples a la Sanidad y a tú bolsillo!. Ojalá tengáis el “As” bajo las mangas! Pq “the is coming” #GretaThunberg USER,others,F,2
1062,Bueno pues tenemos un presidente que reconoció a un fascista que levantó la mano en una plaza y se proclamó dirigente de una nación soberana en la que se habían realizado elecciones unos meses antes. #ElecccionesGenerales28A,anger,F,2
1063,RESUMEN #LaLiga | Así fue el ATLÉTICO 1-0 VALLADOLID que se decidió entre un gol en propia meta y un penalti no pitado ▶ https://t.co/2YtMiXLaUl https://t.co/gMxHAtIsAT,others,F,2
1064,Hoy #DiadelLibro este post no pierde vigencia https://t.co/IaAM8sCjjc,others,F,2
1065,¿Lo escuchan? Es el silencio... de Pacma. #ElecccionesGenerales28A #eleccionesL6 #28a,others,F,2
1066,Primero el Museo de Brasil ahora #notredame ?? Soy enemigo de la casualidad USER USER USER,others,F,2
1067,Lo mejor es que ni tengo HBO ni nada pero aquí estoy buscándome la vida #JuegodeTronos,others,F,2
1068,"Creo que el nuevo capítulo de GoT representa muy MUY bien lo esencial que son las mujeres en los peores momentos, sin ellas (especialmente sin las pequeñas 😢) estarían todos muy MUY jodidos. #JuegodeTronos #GameofThrones #VivePoniente #GameofThronesSeason8",joy,F,2
1069,Quiero puto llorar d nervios #JuegoDeTronos,others,F,2
1070,"¿Soy el único que no entiende por qué está loco todo el mundo por las series de #JuegodeTronos? Entonces, ¿será prudente ver esa serie rara? 👀",others,F,2
1071,Messi .. El mejor de todos los tiempos 🔟 🇦🇷. Un extraterrestre #Messi #ChampionsLeague #Barcelona https://t.co/wJRk9K4zAF,joy,F,2
1072,"Si no fuésemos estúpidos/as,los gestores de nuestro sistema alimentario estarían en prisión, por actos criminales contra la naturaleza y la salud pública.#ExtinctionRebellion #GretaThunberg",disgust,F,2
1073,"ATENCIÓN CONTENIDO VIOLENTO-Un vehículo de la Guardia Nacional arrolla a manifestantes que le tiraban piedras en #Caracas, #Venezuela. USER USER https://t.co/3xjzXq1Kpl",others,F,2
1074,Que angustia #Venezuela desde aquí enviando toda la buena energía para que terminemos de salir de este régimen.,sadness,F,2
1075,"Si algún día me encuentro a Busquets, que haga conmigo lo que quiera. CRACK rotundo #BarcaLiverpool #ChampionsLeague",joy,F,2
1076,"¿Por qué hoy es el #DiaDelLibro ? #Shakespeare #Cervantes e Inca #GarcilasodelaVega murieron el 23/4. Varios siglos después (1926), un librero español logró que a la Cámara Oficial del libro de Barcelona aprobara la celebración. USER https://t.co/zivKhTJHo4",others,F,2
1077,Por donde les gusta más ver los juegos de la #ChampionsLeague? #ChampionsxFOX #CHAMPIONSxESPN???? 🤔🧐,others,F,2
1078,Hoy estoy disfrutando tanto tanto que hasta me he puesto la COPE!! 😂😂😂 #ElecccionesGenerales28A #Elecciones2019 #EleccionesGenerales,joy,F,2
1079,¡Feliz #DiaDelLibro! 📖📕📚 Más a los que apoyan económicamente a autores principiantes e independientes a que logren sus sueños 🥑,joy,F,2
1080,"Sí, sí, sí, esta noche hay capítulo de #juegodetronos , impaciencia absoluta 🤗. Celébralo con las camisetas de #alianzafriki , muchos modelos a elegir y a precios alucinantes, link en la… https://t.co/z0b6s0GOW3",joy,F,2
1081,"HOY NO. Increíble, increíble, increíble Arya en este episodio. Dios sigo sin asimilar tantas emociones. #GameofThrones #JuegoDeTronos https://t.co/wREcyx9chJ",surprise,F,2
1082,El USER es el mejor equipo que ha pasado por el Camp Nou esta temporada. Sin USER estaría ya muy complicada la eliminatoria #BarcelonavLiverpool #ChampionsLeague,others,F,2
1083,"♻️Nos arrepentiremos por no hacer nada porque cuando tuvimos la voz nos callamos, cuando tuvimos fuerzas dejamos que pasará, cuando aún había tiempo no nos importo, lo dejamos pasar como todo, siempre pero hoy que podemos hablar y gritar hagámoslo #GretaThunberg",others,F,2
1084,El #CCK emplazado en USER #Argentina 🇦🇷 con su cúpula en colores de la bandera de #Francia 🇫🇷 un gesto de acompañamiento por la dolorosa situación de #NotreDame una gran pérdida para la humanidad toda 😓🙏✨ https://t.co/fDieWDnQZ7,sadness,F,2
1085,"Fotos con vacas, promesas superfluas, compromisos inútiles y poca atención a lo más importante: EL PLANETA SE MUERE Y LOS RECURSOS SE ACABAN. Mañana desde las 13.30 en el centro de Murcia y alrededor de todo el mundo #Fridaysforfuture #GretaThunberg #Murcia #Jovenesliderando https://t.co/09lfDDCi7T",others,F,2
1086,"Qué bonito, regalando libros hoy en el #DíaDelLibro entre nuestros políticos favoritos en #ElDebateDecisivo",joy,F,2
1087,El Madrid necesita como 10 fichajes y por lo mínimo 3 estrellas para salir del hueco donde están! La perdida de Ronaldo fue catastrófica y monumental! USER #realmadrid #championsleague,others,F,2
1088,"⚡️ Muchos son los recuerdos y fotografías que tiene la gente de la catedral de #NotreDame: ""Se reconstruirá y volveremos. Claro que la volveremos a ver!"" https://t.co/QB3hjXOGQo",joy,F,2
1089,Hoy en el #BarçaLevante el #Barcelona puede ganar otra #LaLiga la décima de #Messi 🏆 https://t.co/MeUEVRa6ao,others,F,2
1090,"Ais, pero me da un poco de cosa. Ahora Cersei suena a villana de pacotilla. Este debería haber sido el final de la serie. #JuegoDeTronos #GameOfThrones #VivePoniente #Got8x03",sadness,F,2
1091,El #BalonDeOro solo tiene UN DUEÑO: #Messi y se llevará el sexto ⚽️⚽️⚽️⚽️⚽️⚽️ 🔝Doblete del MEJOR DEL MUNDO y llega a su #GOL600 ✔️ Goleador de la Champions [11] ✔️ Goleador de la Liga [34] ✔️ Goleador de Europa #BotaDeOro 🔜 la final de la #ChampionsLeague muy muy cerca,others,F,2
1092,#ElecccionesGenerales28A Navarra es la única Comunidad en la que el centroderecha constitucionalista ha ganado las elecciones. USER USER USER USER,others,F,2
1093,Esta niña nos da una lección vital y nos avergüenza con su sentido común #GretaThunberg https://t.co/pgquTRj7Lp,others,F,2
1094,"Estoy llorando, viva mi USER por haber podido ver a Messi en el Nervión #championsleague",joy,F,2
1095,"""Yo no pensaba poner en marcha un movimiento..no tenía ninguna expectativa"" dice #GretaThunberg https://t.co/XOlnIpFceS",others,F,2
1096,Una vergüenza que este USER lamebotas sea complice de un intento de golpe fascista y cobarde. USER vuelve a demostrar que es un ser nefasto que sólo merece cárcel y olvido... #NOPASARAN #Venezuela #VenezuelaSeRespeta,anger,F,2
1097,USER Mis respetos para vos Fernando y un abrazo a este chico. Todo saldrá bien. Somos muchos los que queremos #VenezuelaLibre,joy,F,2
1098,Todo mi apoyo a los niños y jóvenes que HOY nos dan un jalón de orejas y nos piden CUIDAR nuestro maravilloso 🌎. Que su poderoso mensaje se haga escuchar en cada rincón y que la lucha sea más fuerte cada día!!! #climatestrike #FridaysforFuture #GretaThunberg https://t.co/In5RwgHgXN,joy,F,2
1099,"""Soy una niña que dice que otras personas están robando mi #futuro"", dice sobre ella misma #GretaThunberg, activista sueca símbolo de las #protestas por el #clima. https://t.co/SvvKGhQvCd",others,F,2
1100,Que mierda debes tener en la cabeza para realizar esto. 😢 Tanques militares atropellan a manifestantes pro Guaidó en Caracas. #Venezuela https://t.co/om9spWpTNs,anger,F,2
1101,"Eso sí creo que, en justicia, debería de haber sido #JonSnow quien matara al Rey de la Noche, no #AryaStark . Al final ha sido ella la “princesa prometida”. Aunque la adoro y es una auténtica BADASS. #JuegodeTronos #GameOfThrones #GOTS8E3",others,F,3
1102,No se ni q decir.... #GameofThrones #JuegodeTronos #VivePoniente #ForTheThrone #poreltrono #GOT8x03 #AryaStark,others,F,3
1103,"Pensar en la cantidad de obreros que durante siglos la construyeron me produce una pena terrible; esfuerzos enormes, una tragedia, ánimo. #NotreDame",sadness,F,3
1104,"Pistoleroooooo! Que buen gol, bien trabajado #ChampionsLeague",joy,F,3
1105,"Marcha mundial contra el cambio climático. Buenos Aires, Argentina. #FridayForFuture #ClimateStrike #CambioClimático #GretaThunberg https://t.co/SFDLMVweJ7",others,F,3
1106,"Estoy triste por lo sucedido en la catedral de Notre Dame... Ahora, cuando vaya a ver la película del Jorobado, no sé donde va a estar viviendo... #NotreDame",sadness,F,3
1107,"Nada me causa una mayor tristeza. Lo único que me alivia, haberla visitado mientras tuve tiempo. Que desastre. #NotreDame",sadness,F,3
1108,"Nunca he tenido tanta simpatía por un equipo internacional, del cual podría considerarme hincha; pero hoy quisiera que #Liverpool gane la #ChampionsLeague . Su historia, sus figuras de antaño y actuales son un verdadero lujo",joy,F,3
1109,Así amanece la primera plana de El País #28A #ElecccionesGenerales28A https://t.co/9TDjpFVD8q,others,F,3
1110,"Una niña de 16 años #Gretathunberg inspira movimiento global para cuidar la tierra y urgir a los Estados (adultos) a responder a la crisis como ""si la casa se estuviera incendiando, y lo està"", ha dicho. Hitos tremendos, huelga feminista #8demarzo y hoy 15, #Fridaysforfuture https://t.co/qKmMf424Qw",surprise,F,3
1111,Gracias a todos los interventores y apoderados de USER Hoy #MásPPMásEspaña #ValorSeguro para #Estepa #ApoderadosEinterventoresPPSevilla #ElecccionesGenerales28A https://t.co/kfyppVH6a6,others,F,3
1112,"La extrema derecha ha hecho ganar las elecciones a la izquierda más triste de la historia de #España, no tiene otra lectura. #ElecccionesGenerales28A",others,F,3
1113,"Los Españoles de bien, estamos con la #Venezuela de bien y los venezolanos que están sufriendo la dictadura chavista https://t.co/yV6lJ1gcgJ",others,F,3
1114,"La derecha Española sufriendo por primera vez lo que a la Izquierda siempre le sucedió. Votos divididos y sistema electoral actual perjudicándoles. Nunca lo quisieron cambiar, estaban muy cómodos viéndolo desde la distancia Que se jodan! #ElecccionesGenerales28A",others,F,3
1115,Barcelona CAMPEÓN de #LaLiga con gol de Messi supera al Levante 1-0 🏆🙌😁🙌🏆,joy,F,3
1116,¡NI EN CUBA LO QUIEREN! Resistencia cubana apoya a USER https://t.co/9hZlagjBoA #VenezuelaLibre #30Abr,anger,F,3
1117,"HERMANAS VIUDAS, SE HA QUEDADO UNA NOCHE PERFECTA PARA AMARNOS MUCHO ! VAMOS A HACER EL AMOR ESTA NOCHE, 11 MILLONES DE VOTANTES NOS AVALAN !!!! #28A #EleccionesGenerales2019 #ElecccionesGenerales28A",joy,F,3
1118,USER #LaLiga 10 ligas ganadas de 15 Disputadas para el mejor jugador del Mundo Leo Messi #Champions Barcelona es el campeón tras ganarle 1 a 0 Al levante con gol de Leo quien acumula 34 títulos como jugador! #ViscaBarça Este año vamos por el triplete! Campeones #26 🔴🔵 https://t.co/UNV1KpstnK,joy,F,3
1119,#Messi es el puto amo!!!! Es el mejor jugador de la historia 💕💕 #ChampionsLeague,joy,F,3
1120,Ojalá #GretaThunberg defendiendo las bondades de la cubierta retráctil.,others,F,3
1121,"USER USER amenazó a #Cuba con sanciones si no saca a su militares de #Venezuela, pero no mencionó la milicia de #China y #Rusia que también están en el país",others,F,3
1122,"Ojo con que nos dejen de hacer gracia los franquistas lanzando amenazas, se puede poner feo el asunto. #ElecccionesGenerales28A",anger,F,3
1123,USER Exacto!!! Unidos se puede lograr #Venezuelalibre #FuerzaVenezuela 🙏🙏🙏,joy,F,3
1124,"#LaLiga 🏆 | #BarçaLevante ⚽ 💢 Toque a Suárez dentro del área, que pide penalti 🧐 El árbitro dice que NO es suficiente para pitarlo 🕛 32' 0-0 #EnDirecto ▶️ https://t.co/Dolthgpm5X https://t.co/kpNjEbpmyf",surprise,F,3
1125,"Me estás rompiendo el corazón Messi 💔 ... Ya se me pasó, te amo, sos un genio!!! #YNWA #ChampionsLeague",sadness,F,3
1126,"- Pero ¿cómo es que quintuplicó su patrimonio? - Sinceramente, soy una escritora exitosa. #DiaDelLibro",others,F,3
1127,#JuegodeTronos que piensas de la nueva temporada?? https://t.co/kVHIHOXWlG,others,F,3
1128,Jon Snow no sirves para nada bastardo #JuegodeTronos,anger,F,3
1129,#DiaDelLibro Leyendo Cuentos de buenas noches para niñas rebeldes😉,joy,F,3
1130,Eres el mejor libro que se haya escrito ¿cada cuánto te lees? #DiaDelLibro,others,F,3
1131,Una historia interesante al hilo de lo sucedido en #NotreDame 👇🏻🎹 https://t.co/djLa7UNo68,others,F,3
1132,Buenas tardes 10 horas #SinLuz #Zulia Y cayo de sorpresa que Amanecimos de Golpe 🤔🤔🤔🤔👏👏👏👏👏👏👏 #Venezuela #30Abr,others,F,3
1133,USER los cabeza de termo festejan porque son ignorantes...alguna vez los viste agarrar un libro de historia? #NotreDame,anger,F,3
1134,"El hijo de un empresario que estuvo ligado a la dictadura militar argentina, no podría haber hecho otra cosa que apoyar un intento de golpe de Estado en #Venezuela. https://t.co/H8JDKEy8XX",others,F,3
1135,"En un libro te sumerges en mundos fantásticos, que te llenan de muchos conocimientos increíbles, te hacen conocer personajes y ambientes impactantes. Miles de géneros, miles de historias que valen oro, miles de sentimientos, un libro es un fiel compañero. #DiaDelLibro",joy,F,3
1136,"Ya es hora, el pais hoy se levanta con mas fuerza que nunca, todos juntos con un solo objetivo el cese de la usurpacion #venezuela",joy,F,3
1137,Bwin lanza su nuevo Bono de Bienvenida ¡¡100% de tu ingreso hasta 250€!! Y DISFRUTA DE LA EMOCIÓN DE #LALIGA 🇪🇸 en su recta final ➡ https://t.co/6c3SKLGdwE https://t.co/pvQ5UNxyT0,others,F,3
1138,A disfrutar el fin de semana! #LaLiga #PremierLeague #UWCL #SerieA #GameofThrones 📷vía USER https://t.co/vZjSFktc5F,joy,F,3
1139,Mañana madrugo un poquito. Y ahora quién es el guapo que duerme?? Lo habéis vuelto a hacer!! #JuegodeTronos #GameOfThrones #Got8x03 #GOT,others,F,3
1140,Ya lo merece empatar el #liverpool #ChampionsLeague #CHAMPIONSxESPN,others,F,3
1141,Trabajazo digital y papel de USER mañana más os vale disfrutarlo para que merezca la pena trasnochar 🙋🏻‍♂️😊 #ElecccionesGenerales28A,joy,F,3
1142,Abascal que has perdido cállate ya pesao #ElecccionesGenerales28A,anger,F,3
1143,Las elecciones las ha ganado el USER y las ha perdido Florentino Pérez. #ElecccionesGenerales28A,others,F,3
1144,¡Nuestra crítica del episodio 8x03 de #JuegoDeTronos! ¿Ya lo habéis visto? https://t.co/N9xwvdRqhY,others,F,3
1145,¿Alguien sabe porqué el Papa Fco. No ha dicho nada de #NotreDame?,others,F,3
1146,"En los momentos tristes leo, en los momentos alegres leo, todo momento en mi vida, es una excusa para tomar un libro y disfrutar de uno de los mayores placeres de la vida : leer,y aprender . El Universo entero est'a a mis pies cuando leo.📚😍 #DiaDelLibro",joy,F,3
1147,Bienvenidos sean al templo del Futbol #ChampionsLeague,others,F,3
1148,"Esta re mal pero me da una bronca que ya famosos y el estado ofrezcan donaciones para restaurar una iglesia. Me parece tan mierda. Tendrá años, pero la mayoría años de mierdas e injusticias. #NotreDame",anger,F,3
1149,30' Media hora de juego (LEG🔵⚪0-CEL💙💙0) #LeganésCelta🔵⚪💙💙#LaLiga,others,F,3
1150,#AgendaFutbolistica 📆⚽️ #ChampionsLeague 🌏 Semifinal (Ida) 🔥 🎶🎶 The Chaaaaaaampions 🎶🎶 #Ligue1 🇫🇷 #LigaAguila 🇨🇴 #Brasileirao 🇧🇷 Jornada 2 🔥 #SCCL2019 🌎 #FinalRegia Vuelta Hoy habrá CAMPEÓN 🤜🏼Síguenos🤛🏼 https://t.co/azWcb26MGR,others,F,3
1151,"Mientras llamaba a la gente a salir a las calles a luchar gestionaba asilo político en la embajada de Chile, así con el líder. Hechos, no opiniones #VenezuelaLibre",others,F,4
1152,"""Es de que... El respeto al derecho ajeno es la paz"". Y a ellos... ¿Quién los respeta? Ccp. USER USER USER USER USER #Venezuela #RedAMLOvers https://t.co/D8IfnTyc1P",others,F,4
1153,"#ElecccionesGenerales28A ser mujer y votar y/o apoyar a Vox es como abrazar a tu asesino, defender a tu maltratador, echar leña al horno crematorio, poner en marcha la cámara de gas que te va a asesinar #asco #rechazo #noesmibandera #estonoesespaña",anger,F,4
1154,"Es imposible ver las noticias de #Venezuela y no sentir impotencia ganas de llorar y que se desgarra el Alma. USER morirás en tu propia ley, por qué el que mal hace mal le va. #30Abr #FuerzaVenezuela",sadness,F,4
1155,Lo que me preocupa y mucho son los 24 escaños de #vox #ElecccionesGenerales28A #EleccionesGenerales,fear,F,4
1156,#Brasil estudia posible incursión militar en #Venezuela para “evitar derramamiento de sangre” https://t.co/Q1YrThqq5l,others,F,4
1157,"Medianamente satisfecho con estas #EleccionesGenerales28A Lo mejor el ""CON RIVERA NO!"" 💜 A ver si el episodio 3 de #JuegodeTronos es la puta ostia, y ya me queda un día pa enmarcar...😂 https://t.co/psUrjBOrHJ",joy,F,4
1158,"Maldito juego de tronos, vas acabar con mi vida .... No podéis hacer episodios tan buenos, que después queremos más y más... El tercer capítulo de la octava temporada es el mejor capítulo de todos ... Una obra maestra.... Gracias #JuegoDeTronos por existir en mi generación.",surprise,F,4
1159,#ChampionsLeague USER apestas a campeon... Te odio.,disgust,F,4
1160,"“Un lector vive mil vidas antes de morir. El que no lee, vive solamente una” ¡Feliz día del libro! #diadellibro #bookstagram en Toluca, Mexico https://t.co/CD1QT5w6av",joy,F,4
1161,"¿Se supone que tenemos que admirar esto? Me parece estupendo que se vaya a restaurar, pero que sea un grupo de personas las que tengan el poder de hacerlo solo es otra muestra clara de la desigualdad, las injusticias y la crueldad de este sistema capitalista. #NotreDameEnLlamas https://t.co/cyCJey448D",anger,F,4
1162,Yo sobreviví a esta semana: -El salto del helicóptero de Isabel Pantoja en #Supervivientes -El estreno de #VengadoresEndgame -El triunfo de la izquierda en el #28A -Batalla final de #JuegoDeTronos,others,F,4
1163,#LaLiga | Desde las 15:45 (🇦🇷) #Barcelona recibe a #Levante. Si el equipo blaugrana logra el triunfo se consagrara campeón de la liga. https://t.co/IBItypDIEG,others,F,4
1164,El referí medio pelotudo no? #ChampionsLeague #BarcellonaLiverpool #CHAMPIONSxESPN #ChampionsxFOX #Barcelonafc,others,F,4
1165,Perdí años de vida. PERO QUÉ ESPECTÁCULO DE EPISODIO #GameofThrones #GoT #JuegodeTronos,surprise,F,4
1166,Me alegro de haber contribuido a que no volvamos al pasado. #ElecccionesGenerales28A,joy,F,4
1167,manuela bolívar salud chacao iker casillas #championsleague 1ero de mayo pompeo #1may av cedeño brutal #trabajadoresporlapatria https://t.co/Hv2775bhsx,others,F,4
1168,Una campaña improvisada: 1) USER visita un grupo reducido de empresarios por la mañana. 2) Algún iluminado de su equipo le recuerda que es el #DíadelLibro 3) Graba un mensaje sobre libros y la lectura ya que no hay más eventos en el día 👎🏼 Todo en la capital. https://t.co/gPbfMBm6Y2,others,F,4
1169,Interesante dato que coloca la somosinvictos claramente #leomessi puede superar ese registro #laliga la diferencia sería en que #CR7 la ha hecho en 4 clubes y #messi… https://t.co/mFG1VkrZeT,others,F,4
1170,¿Cómo fue la noche electoral en #Ávila? #ElecccionesGenerales28A ➡️De la fiesta del USER y USER a los semblantes serios en el USER pasando por la alegría comedida de USER ... conoce todas las reacciones en nuestra web: https://t.co/0C7HW1FREe,others,F,4
1171,"Bonito primer tiempo, a pesar del árbitro visitante y de que la posesión del balón no fue absoluta del Barça #ChampionsLeague",others,F,4
1172,Ustedes 2 siempre ❤️💙 vamos por esa Champions. #ForçaBarça #ChampionsLeague https://t.co/TcHH0OawHc,others,F,4
1173,"#elecccionesgenerales28a En USER tienen ustedes a muchos fachas diciende en días anteriores que, pese a las encuestas, la derecha iba a sacar tropecientos mil escaños. Lo digo por si se quieren pasar ustedes a reirse de ellos.",others,F,4
1174,#Telenueve | El presidente de #Francia se pronunció tras el incendio en la #Catedral de #NotreDame en #París USER amplía la información en USER https://t.co/NbTkfYEShe,others,F,4
1175,"Cuando piensas que van a sacar a Franco de Cuelgamuros (nos negamos a llamarle Valle de Los Caídos) en su puta cara y no podrán hacer nada por evitarlo, casi que duele un poco menos que desde hoy haya 24 fascistas en nuestro Congreso. #ElecccionesGenerales28A #EleccionesL6",anger,F,4
1176,"Lo sucedido en #NotreDame no es coincidencia esto es real, lo dijeron los mazonicos, eligieron el número 15 como mágico, si no me crees, busca todas las tragedias que han sucedido un 15 de Abril de cualquier año.",others,F,4
1177,"Cómo un presidente de un gobierno , que tiene un ministerio de ""transición ecológica "" recorre 4000 kms en avión para pasar 4 días de vacaciones #MedioAmbiente #transicionecologica #PSOE #GretaThunberg #rebelionextincion",others,F,4
1178,"entiendo que no te guste la política de #venezuela, pero lo que da impotencia es qe aquellos que quieren a #VenezuelaLibre es solo por intereses económicos y les da igual que el pueblo se mate entre sí, con tal de poder disponer el poder del petróleo",sadness,F,4
1179,"Sin duda yo creo que ayer fue un día tanto triste como histórico, todos pensábamos que estábamos viendo una película al ver #NotreDameEnLlamas pero era una triste realidad. Yo he podido verla en dos ocasiones y es muy triste ver así #NotreDame https://t.co/kqiPBFWlYG",sadness,F,4
1180,"USER USER Muy orgulloso de que el #Trifachito no haya sumado ni un solo escaño en #Euskadi Un gran día para los vascos. Como la Rocadragón de juego de juego de tronos, #GOT  resistimos cualquier asedio. #Euskadiantifascista #ElecccionesGenerales28A #Elecciones2019 https://t.co/1w2DvzT7F0",joy,F,4
1181,"#GretaThunberg una niña activista sueca, que mediante #redessociales ha logrado integrar a varios países de #Europa para luchar contra el cambio climático, y ha logrado convocar una #huelgamundial de escolares con su iniciativa #FridaysforFuture #GenZ #T…https://t.co/rMEsTWctaG",joy,F,4
1182,¡Feliz día internacional del libro booklanders! 🎉🎉💕 Qué lean lo más que puedan y los llenen del libros #DiaDelLibro #eyeinbookland https://t.co/MjAvAPGKSi,joy,F,4
1183,#ElecccionesGenerales28A ESPAÑA NO ES DE DERECHAS. BIEN.,others,F,4
1184,"No somos la España fragmentada, somos la España plural de siempre #ElecccionesGenerales28A",others,F,4
1185,"Chale, ya estaba bien 2-0 #ChampionsLeague",others,F,4
1186,“Ver a alguien leyendo un libro que te gusta es ver a un libro recomendándote a una persona”. #DiaDelLibro #DíaInternacionaldelLibro #DiaMundialDelLibro,others,F,4
1187,"Ya lo dijo USER en su libro, en #politica hay que sorprender, emocionar, y hoy creo que Pablo Iglesias lo consiguió. #DíaDelLibro #ElDebateDecisivo https://t.co/cfnG5hrWQR",joy,F,4
1188,Gol del Barcelona. Me callo mejor #ChampionsLeague https://t.co/isfGFw8VKH,sadness,F,4
1189,"yo si fuera jugador del barsa , iria a la primera iglesia que encontrara a dar las gracias a dios USER USER #ChampionsLeague",others,F,4
1190,Que bueno que conocí #NotreDame antes del incendio. https://t.co/5d3fdbrLEs,joy,F,4
1191,"Ver como se quema un catedral histórica y no poder hacer nada, es algo que difícilmente se pueda digerir. #NotreDame",others,F,4
1192,"Mientras Trump está impulsando un golpe de estado en #Venezuela e imponiendo sanciones económicas aplastantes, está apoyando a un gobierno en la vecina Colombia que está destruyendo el acuerdo de paz de 2016 al mismo tiempo que cientos de activistas sociales son asesinados. https://t.co/fanxnnCfBq",anger,F,4
1193,Cosa más buena que leer un lindo libro... #DiaDelLibro #DiaInternacionalDelLibro #literaturachilena https://t.co/44fBu0xBrc,joy,F,4
1194,Este año han sido dos ☺️✌🏼#DiaDelLibro https://t.co/hBToDRguda,others,F,4
1195,"#NotreDame #NotreDameFire #PrayForNotreDame Toda un Icono de la Religión Cristiana, la cultura , la Literatura y cuantas historias y filmaciones de películas se hicieron ahí, una belleza se hace cenizas🔥😢🙏🏻 https://t.co/cgIlVnD544",sadness,F,4
1196,#ElecccionesGenerales28A No sé qué me pasa pero estoy así tras los resultados… https://t.co/s5T8S9KQL4,others,F,4
1197,Vamos a soñar y a viajar 📚 #DiaDelLibro 😉 https://t.co/yXMRGUbhRO,others,F,4
1198,De Reconquista a Resistencia. Buenas noches #ElecccionesGenerales28A #28A,others,F,4
1199,Visto esto el Rey de la Noche puede conquistar él solo los 7 Reinos 😱😱😱 #JuegoDeTronos #GameofThrones https://t.co/xd2NUIjK6G,others,F,4
1200,USER buscando los apuntes del master para ver que tiene que decir en RP en estas ocasiones #ElecccionesGenerales28A,others,F,4
1201,Celebrando el #DíaDelLibro con la magnífica gente de marchafmoficial 😍😍😍 en San Cristóbal de La Laguna https://t.co/CTjCn8xL6j,joy,G,1
1202,"Gracias, hoy puedo dormir tranquila. #ElecccionesGenerales28A",joy,G,1
1203,"USER Al parecer hoy será un día definitivo, varios militares se han revelado en contra de la dictadura de Nicolás Maduro y la oposición esta unida!!! Esperamos a #VenezuelaLibre Además, tengo familia allá que seguramente esta arriesgando la vida por su patria!!!",fear,G,1
1204,"#CooperativaConversa Don USER se entiende,, es de esperar que mañana a primera hora vaya con sus 2 hijos a #Venezuela .... buena idea o no?? #losniñospiñeraprimero https://t.co/PhSl8JVACb",others,G,1
1205,#GameofThrones #JuegoDeTronos #ForTheThrone 8x03 Melisandre es la ama,others,G,1
1206,"Hoy España está de luto, por aquellos que quieren destruirla y pactan con independentistas. ¡Que pena que no se den cuenta de ello! #ElecccionesGenerales28A https://t.co/yhFwBCaniK",sadness,G,1
1207,Lamento el devastador incendio en la Catedral de #NotreDame. Mi solidaridad con todo el pueblo francés 🇫🇷 y con la Alcaldesa de Paris USER . Mucha tristeza por la gran pérdida. https://t.co/o9sq1xIS4c,sadness,G,1
1208,"España ha dicho hoy que basta ya de gritos y de insultos, que sería conveniente bajar los decibelios y relajar los aspavientos. #ElecccionesGenerales28A #28A",anger,G,1
