id,texto,emocion,grupo,estudiante
777,"Señor de luz, ven a nosotros en nuestra oscuridad. Te ofrecemos estos falsos dioses, tómalos e ilumínanos con tu luz. Pues la noche es oscura y alberga horrores. #VivePoniente #GameofThones #JuegodeTronos https://t.co/9Xh8vD1HyO",,D,4
778,#LaLiga | 56' Tarjeta amarilla para Rubén Rochina de Levante USER 0-0 USER #ENVIVO ⚽ https://t.co/AGiaY4aFbm https://t.co/XrvJ6wjyMe,,D,4
779,"Pobrecita... De corazón, no hay que desearle el mal a nadie... pero no puedo evitar desearle a #Putin con toda el alma que sufra en carne propia el enorme daño que le causó a #Siria y a #Venezuela. #Putin #Asesino #Maldito rufian hijo de puta. https://t.co/0oidFSDj9k",,D,4
780,Viaja a través del tiempo y descubre la historia del Ferrocarril más difícil del Mundo forjado con las manos de hombres y mujeres asombrosas y llena tu conocimiento con la lectura. Feliz #DíaDelLibro #EmpresasPúblicas USER https://t.co/7mqtvKJNfr,,D,4
781,"No soy una persona religiosa, pero lo de Notre Dame va más allá. Es una pena y una gran pérdida a nivel cultural, histórico y arquitectónico. No obstante, no he podido resistirme a hacer este meme... #JuegoDeTronos #GameofThrones #NotreDame https://t.co/oeKB7ifA7E",,D,4
782,Y en España gana la izquierda. 🇪🇸 #PSOE #ElecccionesGenerales28A,,D,4
783,"¡Venga, Va! En este día tan especial queremos escuchar vuestra opinión 👀 ¿Cuál es tu película, basada en un libro favorita? ¿Conocéis alguna película sobre libros, librerías o escritores que os haya transmitido su pasión por la lectura? 🤔 #DiaDelLibro https://t.co/eGbzwASz6P",,D,4
784,El grito de los jóvenes contra el cambio climático se convierte en global #GretaThunberg #CambioClimático USER USER #Clima #CalentamientoGlobal USER #FridaysForFuture USER https://t.co/bfM3YRmPyI vía USER,,D,4
785,Pasaremos a la historia como la generación que perdió el Museo de Historia natural de Brasil y la Catedral de #NotreDame. Ahora si somos pobres de verdad...,,D,4
786,"¿Quién es el amo del fútbol? Meeesssi, Meeeessi #Messi #BARLIV #ChampionsLeague https://t.co/BtKx6Tg15y",,D,4
787,Estos dos días me he dado cuenta que soy el único pobre que no conoció la Catedral de #NotreDame,,D,4
788,#ElecccionesGenerales28A Abascal-a que pasa reina las águilas no te dieron alas??? https://t.co/7MWc9vH0An,,D,4
789,#EleccionesL6 #ElecccionesGenerales28A #Elecciones2019 pues parece que se ha quedado al final buena noche. https://t.co/4HpvI7k1GW,,D,4
790,Conoces esta boca tan hermosa? #ElChiringuitoDeMega #LaLiga #realmadrid https://t.co/WUDsI2zI59,,D,4
791,A los #EEUU sin victoria garantizada. Mientras en #Venezuela existe un pueblo que resiste y lucha contra el imperialismo y contra sus aliados internos y externos. Cómo revolucionarios debemos plantearnos avanzar realmente en la ruta de la #Comuna y del #Socialismo con control del,,D,4
792,"Santi, cariño.... España es de los españoles no tuya.... reflexiona.... #28A #ElecccionesGenerales28A",,D,4
793,"#23Abril 📙El mundo celebra el #DiaDelLibro en reconocimiento a quienes escriben, editan, corrigen, ilustran, diseñan, y sobre todo, a quienes aman la lectura.👏 ""Para viajar lejos, no hay mejor nave que un libro"".",,D,4
794,1.-El okupa ya puede entrar en vuestra casa. 2.-El etarra ya puede pasear tranquilo. 3.-El ladrón la puede seguir robando. 4.-El violador ya sabe que saldrá de la cárcel. 5.-El presidente ya puede romper el país. #ElecccionesGenerales28A,,D,4
795,"¿Escuchaste a los #NNA el pasado #15deMarzo? . Continuando con el camino iniciado por #GretaThunberg; “si el clima fuese un banco, ya lo habrían salvado”. 🔔 Leer artículo: https://t.co/xcbb7nTp2o USER 🙋🏻‍♀️🙋🏼‍♂️ #ESCÚCHAME queremos un entorno sostenible para vivir💧♻️",,D,4
796,Las ligas las gana siempre el mejor el más regular #LeoMessi 10 🏆 #LaLiga #FCB #8de11 #BarçaLevante #HablemosDefútbol #FifaRiders ⚽🎙️ https://t.co/tFxqw9Nl5N,,D,4
797,"Llega el Día del Libro y queremos celebrarlo con un buen libro de suspense. España es el escenario donde Dan Brown sitúa su nueva novela, 'Origen': https://t.co/jdLOWKP4Ld ¿Adónde vamos? ¿De dónde venimos? La verdad nunca ha estado tan cerca. #Thriller #SantJordi #DiaDelLibro https://t.co/W4mDKLeoy3",,D,4
798,"... pero para hacerlo, tenemos que hablar claro, no importa cuan incómodo sea... #GretaThunberg https://t.co/GVzSYWuRhr",,D,4
799,Merece un gol el Liverpool a llegado mucho más que Barcelona #ChampionsLeague,,D,4
800,Me encanta ver a los fachas rabiar! 🤭🤭 #ElecccionesGenerales28A,,D,4
